City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
390,Uyskoye,RU,54.3775,60.0047,24.44,89,100,17.9,overcast clouds
391,Adrar,MR,20.5022,-10.0711,77.92,27,100,6.38,overcast clouds
392,Magadan,RU,59.5667,150.8,22.48,68,100,13.11,overcast clouds
393,Ghugus,IN,19.9333,79.1333,77.7,85,85,3.22,overcast clouds
394,Kalispell,US,48.1958,-114.3129,35.78,84,90,4.0,overcast clouds
395,Sal Rei,CV,16.1833,-22.9167,77.56,79,100,13.02,overcast clouds
396,Evensk,RU,61.95,159.2333,12.15,78,13,14.47,few clouds
397,Bengkulu,ID,-3.8004,102.2655,83.53,68,97,4.76,overcast clouds
398,Bam,IR,29.106,58.357,53.46,30,0,2.82,clear sky
399,Manggar,ID,-2.8833,108.2667,85.8,66,47,3.69,scattered clouds
400,Makakilo City,US,21.3469,-158.0858,82.72,62,75,5.75,broken clouds
401,Soto La Marina,MX,23.7667,-98.2167,68.77,95,0,5.44,clear sky
402,Usinsk,RU,65.9939,57.5281,16.88,96,100,9.35,overcast clouds
403,Kyaikto,MM,17.3,97.0167,82.13,63,8,2.73,clear sky
404,Malindi,KE,-3.2175,40.1191,78.44,82,58,8.57,broken clouds
405,Qui Nhon,VN,13.7667,109.2333,80.42,78,97,6.08,heavy intensity rain
406,Tuni,IN,17.35,82.55,79.99,83,24,7.58,few clouds
407,Gwadar,PK,25.1216,62.3254,72.09,28,2,11.97,clear sky
408,Komsomolskiy,UZ,40.4272,71.7189,29.12,59,0,6.91,clear sky
409,Simbahan,PH,6.3032,120.5836,83.73,74,78,7.29,broken clouds
410,Esfarayen,IR,37.0765,57.5101,29.86,42,11,3.6,few clouds
411,Bardiyah,LY,31.7561,25.0865,62.82,66,39,13.15,scattered clouds
412,Acajutla,SV,13.5928,-89.8275,80.08,69,77,4.83,broken clouds
413,Fuling,CN,29.7022,107.3919,54.37,95,100,3.04,overcast clouds
414,Padang,ID,-0.9492,100.3543,75.25,73,82,3.4,broken clouds
415,Jalu,LY,29.0331,21.5482,58.98,67,0,8.21,clear sky
416,Storsteinnes,NO,69.2408,19.2344,28.4,97,100,5.82,overcast clouds
417,Shangrao,CN,28.4532,117.9686,63.81,85,100,3.62,overcast clouds
418,Whitehaven,GB,54.549,-3.5841,40.66,91,8,3.0,clear sky
419,Tripoli,LY,32.8752,13.1875,63.7,69,54,5.99,broken clouds
420,Bafq,IR,31.6128,55.4107,53.94,44,0,5.32,clear sky
421,Verkhoyansk,RU,67.5447,133.385,-19.71,97,97,2.28,overcast clouds
422,Bahia Honda,CU,22.9036,-83.1592,75.92,87,100,8.05,overcast clouds
423,Norman Wells,CA,65.282,-126.8329,-2.16,78,75,3.44,broken clouds
424,Tilichiki,RU,60.4667,166.1,5.34,95,96,10.02,overcast clouds
425,Impfondo,CG,1.6381,18.0667,69.85,98,76,2.15,light rain
426,Terrasini,IT,38.146,13.0844,58.21,89,40,2.3,scattered clouds
427,Upata,VE,8.0086,-62.3989,73.18,97,80,2.46,broken clouds
428,Taksimo,RU,56.3444,114.8794,8.15,87,100,2.06,overcast clouds
429,Nome,US,64.5011,-165.4064,5.07,62,1,4.61,clear sky
430,Sturgeon Falls,CA,46.3646,-79.9326,40.08,98,100,7.23,overcast clouds
431,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,82,40,27.69,scattered clouds
432,Camapua,BR,-19.5314,-54.0439,71.53,92,100,5.03,overcast clouds
433,Rio Gallegos,AR,-51.6226,-69.2181,42.85,42,20,19.57,few clouds
434,Porto Walter,BR,-8.2686,-72.7439,72.43,90,78,0.54,broken clouds
435,Zyryanka,RU,65.75,150.85,-15.74,100,95,0.98,overcast clouds
436,Sambava,MG,-14.2667,50.1667,74.75,77,42,6.06,scattered clouds
437,Nshamba,TZ,-1.7983,31.5511,60.6,82,77,2.53,broken clouds
438,Zheleznodorozhnyy,RU,55.7503,38.0042,36.21,93,97,11.83,light rain
439,Pindobacu,BR,-10.7417,-40.3608,71.87,78,34,5.23,scattered clouds
440,Svitavy,CZ,49.7559,16.4683,43.61,91,72,3.85,broken clouds
441,Sioux Lookout,CA,50.1001,-91.917,28.47,86,75,9.22,broken clouds
442,Santa Maria,BR,-29.6842,-53.8069,63.7,59,0,1.14,clear sky
443,Ashqelon,IL,31.6693,34.5715,61.41,75,93,10.33,overcast clouds
444,Hasaki,JP,35.7333,140.8333,61.29,57,97,4.9,overcast clouds
445,Clinton,US,42.587,-82.9199,41.94,82,90,0.0,overcast clouds
446,Nishihara,JP,26.1842,127.7558,80.26,67,40,10.36,scattered clouds
447,Superior,US,46.7208,-92.1041,32.7,76,1,4.61,clear sky
448,Zeya,RU,53.75,127.2667,14.13,46,100,3.24,overcast clouds
449,Koforidua,GH,6.0941,-0.2591,73.8,98,20,2.71,few clouds
450,Siilinjarvi,FI,63.0833,27.6667,30.22,86,75,10.36,broken clouds
451,Revda,RU,56.801,59.9303,22.01,89,100,8.03,overcast clouds
452,San Cristobal,VE,7.7669,-72.225,73.58,88,91,1.61,overcast clouds
453,Hafizabad,PK,32.0679,73.6854,62.67,27,0,2.39,clear sky
454,Zlitan,LY,32.4674,14.5687,63.09,67,4,2.53,clear sky
455,Sidi Ali,DZ,36.0998,0.4206,56.03,81,17,8.57,few clouds
456,Inta,RU,66.0317,60.1659,7.39,89,93,4.85,overcast clouds
457,Walvis Bay,NA,-22.9575,14.5053,59.09,82,51,4.61,broken clouds
458,Kiunga,PG,-6.1219,141.2906,86.88,64,100,1.66,overcast clouds
459,La Macarena,CO,2.1837,-73.7849,73.56,85,100,3.06,overcast clouds
460,Baturaja,ID,-4.1333,104.1667,86.59,64,100,0.45,overcast clouds
461,Umm Kaddadah,SD,13.6017,26.6876,64.76,30,0,12.95,clear sky
462,Udachnyy,RU,66.4167,112.4,-25.53,99,61,4.99,broken clouds
463,Lashio,MM,22.9333,97.75,70.72,70,9,1.07,clear sky
464,Biella,IT,45.5871,8.0859,44.89,62,0,3.58,clear sky
465,Araouane,ML,18.9048,-3.5265,74.21,29,77,10.54,broken clouds
466,Rognan,NO,67.0953,15.3878,33.94,96,83,4.79,broken clouds
467,Sedam,IN,17.1773,77.2824,75.47,85,71,13.8,broken clouds
468,Madisonville,US,37.3281,-87.4989,51.62,63,99,7.14,overcast clouds
469,Yinchuan,CN,38.4681,106.2731,27.72,14,0,8.84,clear sky
470,Kamyshlov,RU,56.8428,62.7111,24.21,86,100,17.34,overcast clouds
471,Seydi,TM,39.4816,62.9137,40.86,53,0,8.43,clear sky
472,Ormara,PK,25.2088,64.6357,74.61,29,0,9.73,clear sky
473,Daru,PG,-9.0763,143.2092,82.94,83,70,14.23,broken clouds
474,Palmer,US,42.1584,-72.3287,38.39,71,90,8.05,overcast clouds
475,Lundazi,ZM,-12.2929,33.1782,69.6,53,14,6.85,few clouds
476,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,93,75,8.95,light intensity shower rain
477,Yertsevo,RU,60.7966,40.086,27.14,92,100,8.46,light snow
478,Beloha,MG,-25.1667,45.05,71.82,83,81,10.09,broken clouds
479,Bandarbeyla,SO,9.4942,50.8122,75.29,76,42,4.61,scattered clouds
480,Mwanza,TZ,-2.5167,32.9,69.85,88,20,6.91,few clouds
481,Saint Stephen,GB,50.3333,-4.9,48.47,93,90,10.36,overcast clouds
482,Bosaso,SO,11.2842,49.1816,74.32,66,31,7.11,scattered clouds
483,Opoczno,PL,51.3757,20.2783,48.96,75,88,14.58,overcast clouds
484,Sagua La Grande,CU,22.8067,-80.0756,74.39,89,59,6.17,broken clouds
485,Marrakesh,MA,31.6315,-8.0083,53.67,87,40,1.14,scattered clouds
