City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Grindavik,IS,2021-11-11 18:26:55,63.8424,-22.4338,39.67,81,75,16.11
68,Kruisfontein,ZA,2021-11-11 18:26:55,-34.0033,24.7314,63.88,84,99,13.65
69,Florencia,IT,2021-11-11 18:23:39,43.7667,11.25,62.24,75,0,3.44
70,Kaseda,JP,2021-11-11 18:26:56,31.4167,130.3167,62.76,56,90,25.23
71,Sechura,PE,2021-11-11 18:26:56,-5.5569,-80.8222,75.52,57,65,16.15
72,Castro,BR,2021-11-11 18:26:56,-24.7911,-50.0119,59.92,92,100,9.6
73,Atuona,PF,2021-11-11 18:26:57,-9.8,-139.0333,77.36,75,21,9.57
74,Hobart,AU,2021-11-11 18:21:57,-42.8794,147.3294,49.86,77,90,10.36
75,Klobuck,PL,2021-11-11 18:26:57,50.9008,18.9367,41.67,74,74,6.29
76,Lagoa,PT,2021-11-11 18:26:57,39.05,-27.9833,67.82,83,90,11.97
77,Sholapur,IN,2021-11-11 18:26:58,17.6833,75.9167,71.62,48,100,8.97
78,Tasiilaq,GL,2021-11-11 18:26:58,65.6145,-37.6368,30.36,96,100,14.18
79,Yevlax,AZ,2021-11-11 18:26:58,40.6089,47.1492,44.82,79,100,11.18
80,Port Alfred,ZA,2021-11-11 18:26:59,-33.5906,26.891,65.75,83,100,17.13
81,Poum,NC,2021-11-11 18:26:59,-20.2333,164.0167,77.99,84,21,13.87
82,Thompson,CA,2021-11-11 18:26:59,55.7435,-97.8558,12.36,73,75,12.66
83,Nouadhibou,MR,2021-11-11 18:26:59,20.931,-17.0347,73.38,60,0,6.91
84,Avarua,CK,2021-11-11 18:27:00,-21.2078,-159.775,75.25,73,99,8.05
85,Narsaq,GL,2021-11-11 18:27:00,60.9167,-46.05,25.02,62,100,3.76
86,San Quintin,MX,2021-11-11 18:27:00,30.4833,-115.95,75.85,44,0,4.18
87,Tuktoyaktuk,CA,2021-11-11 18:27:00,69.4541,-133.0374,12.2,85,90,9.22
88,Menongue,AO,2021-11-11 18:27:01,-14.6585,17.691,73.24,48,80,4.18
89,Dhadar,IN,2021-11-11 18:27:01,28.3305,75.0632,72.75,21,23,5.06
90,Puerto Ayora,EC,2021-11-11 18:28:01,-0.7393,-90.3518,75.16,86,89,5.99
