City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
377,Ardakan,IR,48.58,clear sky,32.31,54.0175,Ardakan Hotel
379,Krasnik,PL,48.07,broken clouds,50.9236,22.2271,Inteligentny Dom
380,Garmsar,IR,47.61,overcast clouds,35.2182,52.3409,آذین فوم
381,Gazanjyk,TM,46.08,few clouds,39.2446,55.5154,Railway motel
382,Naranjal,EC,73.2,overcast clouds,-2.6667,-79.6167,Media Naranja
383,Moose Factory,CA,33.8,broken clouds,51.2585,-80.6094,Moosonee Lilypad
384,Barmer,IN,72.59,clear sky,25.75,71.3833,OYO 71911 Hotel Amber Palace
386,Kutum,SD,59.22,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
387,Dois Vizinhos,BR,62.42,light rain,-25.7336,-53.0572,Dois Vizinhos Palace Hotel
388,Hazorasp,UZ,28.24,few clouds,41.3194,61.0742,Kemping wifi hotel
389,Camacha,PT,63.82,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
390,Uyskoye,RU,24.44,overcast clouds,54.3775,60.0047,Niva
392,Magadan,RU,22.48,overcast clouds,59.5667,150.8,Magadan hotel
393,Ghugus,IN,77.7,overcast clouds,19.9333,79.1333,Rajiv Colony Tempo Club
394,Kalispell,US,35.78,overcast clouds,48.1958,-114.3129,Red Lion Hotel Kalispell
395,Sal Rei,CV,77.56,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
397,Bengkulu,ID,83.53,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
398,Bam,IR,53.46,clear sky,29.106,58.357,Bam Tourist Hotel
399,Manggar,ID,85.8,scattered clouds,-2.8833,108.2667,Guest Hotel
400,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
401,Soto La Marina,MX,68.77,clear sky,23.7667,-98.2167,Hotel Chicago
402,Usinsk,RU,16.88,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
403,Kyaikto,MM,82.13,clear sky,17.3,97.0167,နီလာ တည်းခိုခန်း
404,Malindi,KE,78.44,broken clouds,-3.2175,40.1191,African House Resort
405,Qui Nhon,VN,80.42,heavy intensity rain,13.7667,109.2333,Hoang Yen Canary Hotel
406,Tuni,IN,79.99,few clouds,17.35,82.55,Sai Krishna Lodge
407,Gwadar,PK,72.09,clear sky,25.1216,62.3254,Sadaf Resort
408,Komsomolskiy,UZ,29.12,clear sky,40.4272,71.7189,Ikathouse
410,Esfarayen,IR,29.86,few clouds,37.0765,57.5101,دفتر ازدواج 65 : سردفتر ابراهیم برغمدی
411,Bardiyah,LY,62.82,scattered clouds,31.7561,25.0865,بورتو بردية
412,Acajutla,SV,80.08,broken clouds,13.5928,-89.8275,asi es
413,Fuling,CN,54.37,overcast clouds,29.7022,107.3919,Yingbin Hostel
414,Padang,ID,75.25,broken clouds,-0.9492,100.3543,Mercure Padang
415,Jalu,LY,58.98,clear sky,29.0331,21.5482,صاحبة الفخامة
416,Storsteinnes,NO,28.4,overcast clouds,69.2408,19.2344,Tingvoll
417,Shangrao,CN,63.81,overcast clouds,28.4532,117.9686,Boyue boutique Hotel
418,Whitehaven,GB,40.66,clear sky,54.549,-3.5841,Premier Inn Whitehaven hotel
419,Tripoli,LY,63.7,broken clouds,32.8752,13.1875,Hotel Al-Safwa
420,Bafq,IR,53.94,clear sky,31.6128,55.4107,Alamdar Hotel
422,Bahia Honda,CU,75.92,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
425,Impfondo,CG,69.85,light rain,1.6381,18.0667,Auberge La Place de Jules
426,Terrasini,IT,58.21,scattered clouds,38.146,13.0844,Florio Park Hotel
427,Upata,VE,73.18,broken clouds,8.0086,-62.3989,Posada Villa Nela
